order_month,total_revenue
2016-09,132.39
2016-10,50942.23
2016-12,10.9
2017-01,128637.99
2017-02,260753.86000000002
2017-03,396451.04
2017-04,391784.42
2017-05,545340.65
2017-06,453031.41
2017-07,533616.84
2017-08,601409.67
2017-09,662276.39
2017-10,693807.6
2017-11,1046127.84
2017-12,770656.15
2018-01,987151.41
2018-02,880099.79
2018-03,1025936.06
2018-04,1029472.3
2018-05,1032150.4400000001
2018-06,909221.1
2018-07,925302.46
2018-08,884657.4
2018-09,145.0
